Ligand	Receptor	interaction.type	sourcedb	host.organism
VEGFA	VEGFA	-	MI:0468(hprd)	-
SPRY2	FBN1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
COMP	ADAMTS7	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
TNFSF10	TNFSF10	-	MI:0468(hprd)	-
FLNA	SHBG	-	MI:0468(hprd)	-
STAT5B	GHR	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
RBX1	GHR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
STAT5B	GHR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
TYK2	GHR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
HSP90AB1	FGFR3	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
TMED10	NIT2	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
MRPL12	NIT2	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
TMEM189	NIT2	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
CDC42SE2	LIPH	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ZNF318	LIPH	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
NID1	LAMC1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
VCAM1	CCL17	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PTPRB	GHR	psi-mi:MI:0203(dephosphorylation reaction)	MI:0917(matrixdb)	-
VCAM1	CCL17	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
RNF20	FGFR4	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
MAPK3	GHR	psi-mi:MI:0914(association)	MI:0467(reactome)	-
LYN	GHR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MAPK1	GHR	psi-mi:MI:0914(association)	MI:0467(reactome)	-
FGF22	FGFR4	psi-mi:MI:0914(association)	MI:0467(reactome)	-
TGFB2	DCN	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SHC1	FGFR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HAP1	COL9A2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
DMRTB1	VASP	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
CCL8	CCL8	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
MEOX2	EFNA3	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
HAP1	COL9A2	-	MI:0468(hprd)	-
LOC100996717	ADAMTSL3	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
FAM20C	FAM20A	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
BDKRB2	CCL16	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAL	CCL16	psi-mi:MI:0914(association)	MI:0467(reactome)	-
ADCY3	CCL16	psi-mi:MI:0914(association)	MI:0467(reactome)	-
APLNR	CCL16	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MMP1	MMP11	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNB1	CCL16	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MCHR1	CCL16	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NOTCH3	JAG2	-	MI:0468(hprd)	-
GNAI2	CCL16	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SDC2	HGF	-	MI:0468(hprd)	-
MYO10	PLA2G10	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
PDIA4	NENF	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
SARS2	NENF	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
ZFYVE9	SVEP1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CLU	EPPIN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
BCAN	MMP10	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ATN1	JAG2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
COPRS	IL6R	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PPP2CA	GRN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
IL6ST	IL6R	-	MI:0468(hprd)	-
APOA2	APOC2	psi-mi:MI:0403(colocalization)	MI:1332(bhf-ucl)	-
JAK1	IL6R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
WWP1	IL6R	-	MI:0468(hprd)	-
GDF11	WFIKKN2	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
LONP2	DCN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
DNPEP	MPPED1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
AMBP	CTSB	MI:0403(colocalization)	MI:0469(intact)	taxid:9606(Homo sapiens)
NEDD4	ERBB3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
SRPK2	ERBB3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
MRPS34	ERBB3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PKP2	EFNB2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
IL23A	IL12B	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
WNT7A	NOTUM	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
GPC1	APOC2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HSP90B1	EGFR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PLD2	EGFR	-	MI:0000(bind_translation)	-
PLD2	EGFR	-	MI:0462(bind)	-
ATP1A1	EGFR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PRKACA	EGFR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
STAT3	EGFR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
STAT3	EGFR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
STAT3	EGFR	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
TCN1	PRSS3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
HIST3H3	ICAM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
IFNA14	IFNA1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
WDFY3	ICAM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
HTR2A	AGT	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FBXO25	COPA	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PON2	EGFR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
DDX20	COPA	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
IFNAR1	IFNA1	-	MI:0468(hprd)	-
JUP	EGFR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GGPS1	ODAPH	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
SERPINA1	PRSS1	-	MI:0468(hprd)	-
IFNAR1	IFNA1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IRF1	IFNA1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
TNFSF13B	TNFSF13B	MI:0914(association)	MI:0000(corum)	taxid:9606(Homo sapiens)
USP8	EGFR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CPN1	CPN2	-	MI:0468(hprd)	-
STK11	MST1	MI:0915(physical association)	MI:0465(dip)	-
UBE2Z	LPL	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
COL1A1	COL7A1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TCOF1	EGFR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PTGDS	EGFR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
RUSC2	EGFR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
STK11	MST1	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
SLC38A9	LGALS3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
HGS	EGFR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CXCL8	PNOC	psi-mi:MI:0914(association)	MI:0467(reactome)	-
ARHGEF1	PNOC	psi-mi:MI:0914(association)	MI:0467(reactome)	-
SSTR5	PNOC	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TMIGD3	PNOC	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCR5	PNOC	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCR7	PNOC	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
F5	F3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
SHC1	HLA-E	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
STAT1	HLA-E	psi-mi:MI:0914(association)	MI:0467(reactome)	-
PLCG1	HLA-E	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TFPI	F3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CNNM1	HLA-E	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
HLA-B	CSF1	-	MI:0468(hprd)	-
HGS	EGFR	-	MI:0468(hprd)	-
HGS	EGFR	MI:0915(physical association)	MI:0465(dip)	-
MAP2K1	EGFR	-	MI:0468(hprd)	-
PLD2	EGFR	-	MI:0468(hprd)	-
PRKACA	EGFR	-	MI:0468(hprd)	-
BMPR2	BMP2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
HGS	EGFR	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
BMPR2	BMP2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
AKAP12	EGFR	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
CHRDL2	BMP2	MI:0914(association)	MI:0000(corum)	taxid:9606(Homo sapiens)
LPAR5	GNRH2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
P2RY2	GNRH2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PTGFR	GNRH2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
BMPR2	BMP2	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
CBL	FGFR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IGFBP3	EGFR	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
EPHA7	EFNA4	-	MI:0462(bind)	-
JUP	EGFR	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
WASF3	EGFR	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
RGS4	EGFR	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
PRSS3	APP	-	MI:0000(bind_translation)	-
HBZ	FGFR3	-	MI:0468(hprd)	-
KIFC3	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
LSM6	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
OAS2	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
TARBP2	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
COPS7B	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
RPF2	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
SH3GL2	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
HBG1	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ZNF574	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
DIP2A	BMP2	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TBPL1	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
RNF41	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
POLR2K	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GFAP	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GPSM3	FGFR3	-	MI:0468(hprd)	-
AK4	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
TMOD2	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PPIL2	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
FBN2	BMP2	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
SPSB2	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
KLHL32	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
TMEM53	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
BCL2L11	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ACY1	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
HOXC6	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ARHGAP9	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
BMPR2	BMP2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GREM2	BMP2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PKM	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GAD2	RIMS1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
DAB1	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GALE	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ACTL7B	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
RUVBL2	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CCDC28B	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
DIEXF	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
SLC1A1	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ARRDC1	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ADH4	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
POLDIP2	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
MEST	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CXXC4	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
AKT2	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
FAM214B	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
TRIM16	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
KPTN	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ZEB2	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
RAPGEFL1	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CHAC2	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CEACAM6	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
POLA2	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
KIR2DL3	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PIM1	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ITGA5	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
NUP205	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
RAB5C	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PSMD13	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GSTK1	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
STX4	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
VPS35	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GNAI3	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TTLL12	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ACTR3	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
VASP	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
HSPA5	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
EEF1D	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
SFPQ	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
HIST1H2AD	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
DDX3X	FN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
NR0B2	FN1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
SET	APP	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ZNF512B	IL36RN	-	MI:0000(bind_translation)	-
QRICH1	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
QRICH1	APP	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FBXW11	APP	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GLRB	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ITGA5	FN1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CES3	APP	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CKAP2	APP	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ATXN10	FN1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
BORA	FGFR3	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
SYNPO	GNAS	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PTGDS	EGFR	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PLAT	SERPINA5	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
GSAP	APP	MI:0915(physical association)	MI:0465(dip)	-
ARMCX3	GNAS	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CASP8	APP	psi-mi:MI:0194(cleavage reaction)	MI:0974(innatedb)	-
GFAP	APP	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
AVPR2	GNAS	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
HSP90AB1	FGFR3	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CALM1	GNAS	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
MMP7	LAMC2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GSAP	APP	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
FGF22	FGFR3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
IL1B	A2M	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
KLK3	A2M	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
H2AFX	A2M	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
RAD23A	A2M	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CDC42	A2M	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
RHEB	A2M	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PRNP	APP	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
RHOU	A2M	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RHOT1	A2M	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PPM1J	CSN1S1	-	MI:0468(hprd)	-
HTRA2	CSN1S1	-	MI:0468(hprd)	-
GSAP	APP	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
EIF4E2	APP	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PRNP	APP	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
GFAP	APP	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
ATP5C1	APP	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PSRC1	APP	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
ZNF574	APP	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
ASXL1	APP	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
RUSC1	APP	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
ACP6	CGN	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
RET	EGFR	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
JUP	EGFR	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
HSP90B1	EGFR	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
SORL1	APP	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
NRP1	FAM19A4	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
HRH3	APP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PPIB	COL2A1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GRK2	APP	psi-mi:MI:0914(association)	MI:0467(reactome)	-
P2RY6	APP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MTNR1B	APP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
P2RX7	APP	psi-mi:MI:0914(association)	MI:0467(reactome)	-
TRH	APP	psi-mi:MI:0914(association)	MI:0467(reactome)	-
TAS2R19	APP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMS	APP	psi-mi:MI:0914(association)	MI:0467(reactome)	-
ADCY6	APP	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GNA15	APP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNA11	APP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HIST1H3A	CPVL	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
LTA4H	GH1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PRLR	GH1	-	MI:0462(bind)	-
SGSM2	AFP	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
SIRT1	FGF10	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PDGFB	COL4A4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PLCG1	EGFR	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
LRRK1	EGFR	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
SET	GH1	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
CEP164	FAM19A3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ACAT1	GH1	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
RPS19	GH1	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
DSP	GH1	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
LTA4H	GH1	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
DNAJC8	GH1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
RGS4	EGFR	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PSMD13	GH1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
FGF9	FGF10	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CISH	GH1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CAPN7	EGFR	psi-mi:MI:0403(colocalization)	MI:0917(matrixdb)	-
FGF2	FGF10	psi-mi:MI:0914(association)	MI:0467(reactome)	-
PDHB	GH1	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
RBM14	GH1	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
C2	C4BPB	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
P2RY4	GH1	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
HSPD1	CDH1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ANXA2	GH1	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
MET	CDH1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
RIN1	EGFR	psi-mi:MI:0403(colocalization)	MI:0917(matrixdb)	-
ECHS1	GH1	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
SNX20	SELPLG	psi-mi:MI:0407(direct interaction)	MI:0000(uniprotpp)	-
ACAT1	GH1	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
JUP	GH1	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
F11	F11	MI:0195(covalent binding)	MI:0465(dip)	-
IGFBP3	KLK3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GOLGA2	CDH1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PARP1	LGALS3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
IRAK1	CDH1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ARHGEF12	CDH1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ISYNA1	CDH1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
HGS	EGFR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
OPRL1	NPB	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNA12	NPB	psi-mi:MI:0914(association)	MI:0467(reactome)	-
RLN3	NPB	psi-mi:MI:0914(association)	MI:0467(reactome)	-
SERPINE1	F2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
NPBWR1	NPB	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PYY	NPB	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GRM6	NPB	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNA13	NPB	psi-mi:MI:0914(association)	MI:0467(reactome)	-
